Entity_VI,Entity_EN
quần áo,clothes
bộ,set
trang phục,skin
bộ đồ,suit
chuyên gia,expert
món đồ,item
nhân viên,staff
dịch vụ,service
họ,Surname
vật liệu,material
sản phẩm,product
cửa hàng,shop
chai nước,Water bottles
giá cả,price
hội an,Hoi An
doanh,joint
trải nghiệm,experience
tác phẩm,work
quần,trousers
quần đùi,shorts
quần bơi,swimming trunks
quần short,short
nàng công chúa,Princess
mặt hàng quần áo,clothing items
bộ áo,suit
lần lắp,installation times
loại vải,fabric type
áo váy,dresses
lượng thực sự,real quantity
khách sạn,hotel
áo phông,T-shirt
hàng,row
túi tiền,money bag
áo,shirt
áo khoác,jacket
người dân,people
áo khoác mùa,Season jacket
áo khoác bộ vest váy,jacket suit dress
bộ vest,a suit
áo sơ mi,shirt
hàng hóa,goods
chất liệu vải,fabric material
quần áo váy váy,clothes dresses dresses
áo cánh,blouse
chiếc áo,a T-shirt
thị trấn,town
quý cô,Ladies
thành phẩm,finished product
chiếc,pcs
váy,dress
bộ đồ playsuit,playsuit
quần dài,trouser
chất liệu,material
người,People
thợ may,tailor
trung tâm thành,city ​​center
phố cổ,old Quarter
tiệm may,tailor shop
bộ quần áo,suit
chuyến thăm,visit
trang trại ca cao,cocoa farm
nếm sô,taste the sauce
máy ép,compressor
hạt,seed
ca,ca
trang trại,farm
chuyến tham quan,trip
sản phẩm ca cao,cocoa products
đồ uống,drinks
sô cô,Chocolate
xe máy,motorbike
biển báo,notice board
trang,page
trại ca cao,cocoa farm
nhà máy,factory
chủ sở hữu,Owner
hướng dẫn viên,tour guide
hạt cacao,cocoa beans
chợ,market
cái răng,teeth
nhà máy mì,noodle factory
ca cao,cocoa
trang trại cacao,cocoa farm
quy trình,procedure
chế biến cacao,cocoa processing
bài giảng,lesson
bầu không khí,atmosphere
bao xa,how far
trang trại mất,lost farm
câu lạc bộ,club
phòng tập,gym
khu phố cổ,old Town
phòng tập thể dục,Gym
máy móc,machines
thức ăn,food
máy lạnh,air-conditioner
mặt hàng,items
khăn quàng,bib
đồ gốm,pottery
đồ sơn mài,Painting
vạt,flap
bia,bia
quán bar,bar
món ăn,dish
mặt hàng thủ công,handmade items
bùa hộ,amulet
thiết kế nội,interior design
ngôi nhà,house
sản phẩm thời trang,fashion product
hàng gia,family goods
trung,central
tâm phố cổ,old town center
mặt hàng thủ công mỹ nghệ,handicraft items
đồ thủ công,Handmade
sản phẩm lưu niệm,souvenir products
món,dish
quà lưu niệm,souvenir
thủ công,handmade
túi,bag
nghề thủ công,handicraft
nghề dệt lụa,silk weaving
món đồ thủ công,handmade items
đồ trang trí,decorations
căn hộ,apartment
cửa,door
sản phẩm tiêu,pepper products
đồ trang sức,jewelry
chiếc nhẫn,Rings
khăn trải,blanket
bàn,table
đồ thủ công quần áo,clothing crafts
căn bếp,kitchen
bán đồ lưu niệm,sell souvenirs
ông chủ -,boss -
chú chuồn chuồn,dragonfly
khăn lụa,silk scarf
vòng cổ,necklace
đồ lưu niệm,souvenir
đồ,thing
lưu niệm handmade,handmade souvenirs
